_id,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9a7"")",2015-08-17T00:00:00.000,0.03,0,0,0,0,0,0.2,2.39,3,16,0.188,7.32,0,10,0,193.099,40.813667,-73.871333,BR5,Mouth of Bronx River,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9a8"")",2016-08-29T00:00:00.000,0.039,0,245.09,0,26.43,6.96,0.227,2.79,2,21,0.219,7.91,0,20,0,243.22,40.813667,-73.871333,BR5,Mouth of Bronx River,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9a9"")",1965-07-06T00:00:00.000,0,0,0,790,28.7,0,0,0,0,0,0,0,0,0,3.4,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9aa"")",1979-07-31T00:00:00.000,0,0.8,0,4000,22.1,0,0,0,0,0,0,0,0,0,5.3,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ab"")",1979-07-31T00:00:00.000,0,0.8,0,4000,22.1,0,0,0,0,0,0,0,0,0,5.3,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ac"")",1931-08-13T00:00:00.000,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,1.77,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ad"")",1997-09-24T00:00:00.000,0.564,0,0,0,22.66,5.18,0.596,0,0,18,0.256,7.38,7.39,20,5.95,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ae"")",1954-07-13T00:00:00.000,0,0,0,9,25.2,0,0,0,0,0,0,0,0,0,4.2,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9af"")",2003-08-27T00:00:00.000,0.068,0,0,0,0,0,0.196,4.39,2,11.4,0.18,7.9,7.98,0,9.29,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b0"")",2009-06-17T00:00:00.000,0.37,0,251.026,0,20.26,6.71,0.544,4.1,8,5.4,0.142,7.45,7.51,60,8.29,249.8,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b1"")",1967-08-29T00:00:00.000,0,0,0,700,18.55,0,0,0,0,0,0,0,0,0,4.5,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b2"")",1909-09-30T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b3"")",2006-02-09T00:00:00.000,0.36,0,0,0,0,0,0.688,4.33,10,30,0.099,0,0,84,10.8,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b4"")",2012-08-01T00:00:00.000,0.438,0,222.448,0,23.27,4.57,0.44,4.08,131,8,0.207,7.4,7.39,370,4.87,222.724,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b5"")",1984-06-14T00:00:00.000,0,1.3,0,4000,20.5,0,0,0,0,0,0,0,0,0,5.8,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b6"")",1984-06-14T00:00:00.000,0,1.3,0,4000,20.5,0,0,0,0,0,0,0,0,0,5.8,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b7"")",2009-08-26T00:00:00.000,0.349,0,92.987,0,21.1,4.39,0.408,5,3,3.6,0.17,7.33,7.32,28,4.47,96.445,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b8"")",1985-07-16T00:00:00.000,0,0.8,0,17000,17.5,0,0,0,0,0,0,0,0,0,5,0,40.641167,-74.153,K2,Shooters Island,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9b9"")",1909-07-16T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ba"")",1968-07-30T00:00:00.000,0,4.9,0,79000,26.6,0,0,0,0,0,0,0,0,0,6.7,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9bb"")",1966-07-26T00:00:00.000,0,0,0,1100,29.05,0,0,0,0,0,0,0,0,0,4.9,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9bc"")",2011-06-02T00:00:00.000,0.194,0,0,0,0,0,0.206,3.5,1,4,0.089,7.63,0,26,0,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9bd"")",2008-10-22T00:00:00.000,0.404,0,0,0,0,0,0.496,2.9,1,9.4,0.168,7.57,0,18,0,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9be"")",2015-08-11T00:00:00.000,0.356,0,218.486,0,29.04,5.85,0.18,2.74,2,27,0.096,7.55,7.7,42,6.14,226.1,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9bf"")",1913-02-18T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c0"")",1996-05-07T00:00:00.000,0.293,0,0,0,0,0,0.35,0,0,19,0.073,7.5,7.79,0,10.03,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c1"")",2000-08-31T00:00:00.000,0.327,0,0,0,24.95,2.76,0.413,3.36,0,7.4,0.152,7.33,7.43,25,5.72,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c2"")",1941-09-05T00:00:00.000,0,0,0,0,33.25,0,0,0,0,0,0,0,0,0,5.89,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c3"")",1911-10-26T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c4"")",1998-06-09T00:00:00.000,0.214,0,0,0,30.2,7.88,0.235,0,0,12,0.114,7.67,7.72,13,8,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c5"")",1909-04-19T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c6"")",1938-08-25T00:00:00.000,0,0,0,0,25.2,0,0,0,0,0,0,0,0,0,3.82,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c7"")",1959-08-10T00:00:00.000,0,0,0,240,28.35,0,0,0,0,0,0,0,0,0,2.3,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c8"")",1980-07-15T00:00:00.000,0,1.7,0,9300,31.5,0,0,0,0,0,0,0,0,0,5.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9c9"")",1980-07-15T00:00:00.000,0,1.7,0,9300,31.5,0,0,0,0,0,0,0,0,0,5.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ca"")",1982-07-06T00:00:00.000,0,2.6,0,0,26.4,0,0,0,0,0,0,0,0,0,6.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cb"")",1982-07-06T00:00:00.000,0,2.6,0,0,26.4,0,0,0,0,0,0,0,0,0,6.4,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cc"")",2007-03-21T00:00:00.000,0.198,0,145.904,0,29.28,9.24,0.248,3.11,3,8.8,0.067,7.97,8.01,4,10.85,144.757,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cd"")",1911-07-13T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9ce"")",2007-08-01T00:00:00.000,0.266,0,132.071,0,29.13,4.76,0.162,4.3,10,12.7,0.082,7.54,7.64,4,5.78,140.079,40.606167,-74.0455,N8,The Narrows,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9cf"")",1972-07-27T00:00:00.000,0,0.6,0,490,31.4,0,0,0,0,0,0,0,0,0,5.6,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d0"")",2010-03-09T00:00:00.000,0.108,0,197.481,0,28.97,12.66,0.112,2.1,0,3.4,0.05,7.76,7.8,0,11.67,194.185,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
"ObjectId(""5dfe4f954e00d60f40f0f9d1"")",1922-06-15T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.568333,-73.983333,N9,Steeplechase Pier,,,,,,,,,,,,,,,
