sampling_location,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,sample_date,DESCRIPTION
BR5,2015-08-17T00:00:00.000,0.03,0,0,0,0,0,0.2,2.39,0,3,16,0.188,7.32,0,10,0,0,193.099,2015-08-17T00:00:00.000,Mouth of Bronx River
BR5,2016-08-29T00:00:00.000,0.039,0,245.09,0,26.43,6.96,0.227,2.79,245.09,2,21,0.219,7.91,0,20,0,245.09,243.22,2016-08-29T00:00:00.000,Mouth of Bronx River
K2,1965-07-06T00:00:00.000,0,0,0,790,28.7,0,0,0,0,0,0,0,0,0,0,3.4,0,0,1965-07-06T00:00:00.000,Shooters Island
K2,1979-07-31T00:00:00.000,0,0.8,0,4000,22.1,0,0,0,0,0,0,0,0,0,0,5.3,0,0,1979-07-31T00:00:00.000,Shooters Island
K2,1979-07-31T00:00:00.000,0,0.8,0,4000,22.1,0,0,0,0,0,0,0,0,0,0,5.3,0,0,1979-07-31T00:00:00.000,Shooters Island
K2,1931-08-13T00:00:00.000,0,0,0,0,23.1,0,0,0,0,0,0,0,0,0,0,1.77,0,0,1931-08-13T00:00:00.000,Shooters Island
K2,1997-09-24T00:00:00.000,0.564,0,0,0,22.66,5.18,0.596,0,0,0,18,0.256,7.38,7.39,20,5.95,0,0,1997-09-24T00:00:00.000,Shooters Island
K2,1954-07-13T00:00:00.000,0,0,0,9,25.2,0,0,0,0,0,0,0,0,0,0,4.2,0,0,1954-07-13T00:00:00.000,Shooters Island
K2,2003-08-27T00:00:00.000,0.068,0,0,0,0,0,0.196,4.39,0,2,11.4,0.18,7.9,7.98,0,9.29,0,0,2003-08-27T00:00:00.000,Shooters Island
K2,2009-06-17T00:00:00.000,0.37,0,251.026,0,20.26,6.71,0.544,4.1,251.026,8,5.4,0.142,7.45,7.51,60,8.29,251.026,249.8,2009-06-17T00:00:00.000,Shooters Island
K2,1967-08-29T00:00:00.000,0,0,0,700,18.55,0,0,0,0,0,0,0,0,0,0,4.5,0,0,1967-08-29T00:00:00.000,Shooters Island
K2,1909-09-30T00:00:00.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1909-09-30T00:00:00.000,Shooters Island
K2,2006-02-09T00:00:00.000,0.36,0,0,0,0,0,0.688,4.33,0,10,30,0.099,0,0,84,10.8,0,0,2006-02-09T00:00:00.000,Shooters Island
K2,2012-08-01T00:00:00.000,0.438,0,222.448,0,23.27,4.57,0.44,4.08,222.448,131,8,0.207,7.4,7.39,370,4.87,222.448,222.724,2012-08-01T00:00:00.000,Shooters Island
K2,1984-06-14T00:00:00.000,0,1.3,0,4000,20.5,0,0,0,0,0,0,0,0,0,0,5.8,0,0,1984-06-14T00:00:00.000,Shooters Island
