,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location,DESCRIPTION
305,1909-04-07T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
30,1909-04-19T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,N8,The Narrows
342,1909-07-15T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
18,1909-07-16T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,N8,The Narrows
660,1909-09-17T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.633833,-73.873667,J9A,Fr. Crk. Bouy C21
11,1909-09-30T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.641167,-74.153,K2,Shooters Island
38,1911-07-13T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.43,0.0,0.0,40.606167,-74.0455,N8,The Narrows
98,1911-08-08T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.83,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
152,1911-10-04T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.38,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
28,1911-10-26T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,N8,The Narrows
93,1913-02-18T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
24,1913-02-18T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.606167,-74.0455,N8,The Narrows
311,1913-07-09T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.31,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
302,1915-04-20T00:00:00.000,0.0,0.0,0.0,0,23.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,9.07,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
330,1918-07-16T00:00:00.000,0.0,0.0,0.0,0,14.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.75,0.0,0.0,40.828000,-73.93383299999999,H3,155th Street
104,1918-07-17T00:00:00.000,0.0,0.0,0.0,0,27.65,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.9,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
86,1919-07-23T00:00:00.000,0.0,0.0,0.0,0,26.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.77,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
146,1920-09-03T00:00:00.000,0.0,0.0,0.0,0,23.45,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,7.2,0.0,0.0,40.508833,-74.258833,K5,Tottenville
107,1921-06-20T00:00:00.000,0.0,0.0,0.0,0,28.7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.92,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
389,1921-07-15T00:00:00.000,0.0,0.0,0.0,0,25.55,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.2,0.0,0.0,40.785500,-73.860833,E6,Flushing Bay
101,1921-09-07T00:00:00.000,0.0,0.0,0.0,0,30.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.11,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
42,1922-06-15T00:00:00.000,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,40.568333,-73.983333,N9,Steeplechase Pier
106,1923-08-15T00:00:00.000,0.0,0.0,0.0,0,29.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.14,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
165,1924-06-24T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.4,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
85,1924-06-24T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,4.93,0.0,0.0,40.643833,-74.053833,N7,"""28"" Buoy Robbins Reef"
388,1924-08-19T00:00:00.000,0.0,0.0,0.0,0,26.6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,2.19,0.0,0.0,40.785500,-73.860833,E6,Flushing Bay
299,1925-07-09T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.01,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
318,1926-08-04T00:00:00.000,0.0,0.0,0.0,0,25.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.6,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
309,1927-06-15T00:00:00.000,0.0,0.0,0.0,0,24.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.42,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
48,1927-07-29T00:00:00.000,0.0,0.0,0.0,0,32.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,5.26,0.0,0.0,40.568333,-73.983333,N9,Steeplechase Pier
316,1928-08-08T00:00:00.000,0.0,0.0,0.0,0,20.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
163,1929-08-28T00:00:00.000,0.0,0.0,0.0,0,25.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.54,0.0,0.0,40.651112,-74.08194499999999,K1,St. George
313,1930-09-11T00:00:00.000,0.0,0.0,0.0,0,28.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,3.32,0.0,0.0,40.704500,-74.03,N5,Pier A-The Battery
