_id,sample_date,top_ammonium_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,top_bottom_coliform_cells_100_ml,bottom_salinity_psu,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,top_nitrate_nitrite_mg_l,top_dissolved_organic_carbon_mg_l,top_enterococci_bacteria_cells_100ml,top_total_suspended_solid_mg_l,total_phosphorus_mg_l,top_ph,bottom_ph,top_fecal_coliform_bacteria_cells_100ml,winkler_method_bottom_dissolved_oxygen_mg_l,oxidation_reduction_potential_mv_top_sample,lat,long,sampling_location
"ObjectId(""5dfe4f954e00d60f40f0f9a7"")",2015-08-17T00:00:00.000,0.03,0,0,0,0,0,0.2,2.39,3,16,0.188,7.32,0,10,0,193.099,40.813667,-73.871333,BR5
"ObjectId(""5dfe4f954e00d60f40f0f9a8"")",2016-08-29T00:00:00.000,0.039,0,245.09,0,26.43,6.96,0.227,2.79,2,21,0.219,7.91,0,20,0,243.22,40.813667,-73.871333,BR5
"ObjectId(""5dfe4f954e00d60f40f0f9be"")",2015-08-11T00:00:00.000,0.356,0,218.486,0,29.04,5.85,0.18,2.74,2,27,0.096,7.55,7.7,42,6.14,226.1,40.606167,-74.0455,N8
"ObjectId(""5dfe4f954e00d60f40f0f9e8"")",2015-08-19T00:00:00.000,0.593,0,434.174,0,23.3,4.33,0.19,2.72,24,6,0.38,7.09,7.12,193,4.77,417.021,40.714961,-73.931556,NC0
"ObjectId(""5dfe4f954e00d60f40f0fa2e"")",2015-08-11T00:00:00.000,0.294,0,422.928,0,28.17,5.87,0.178,2.49,2,19,0.101,7.55,7.57,5,6.28,406.907,40.643833,-74.053833,N7
"ObjectId(""5dfe4f954e00d60f40f0fa45"")",2016-03-24T00:00:00.000,0.275,0,0,0,0,0,0.234,2.23,8,24,0.13,7.8,7.8,4,0,0,40.678034,-73.989073,GC4
"ObjectId(""5dfe4f954e00d60f40f0fa72"")",2015-09-03T00:00:00.000,0.23,0,227.04,0,29.69,4.47,0.084,2.59,5,12,0.188,7.63,7.64,3,5,229.335,40.621667,-73.894721,J10
"ObjectId(""5dfe4f954e00d60f40f0fa90"")",2016-02-02T00:00:00.000,0.096,0,0,0,29.59,0,0.271,1.7,3,16,0.06,8.01,8.02,62,11.52,0,40.581667,-73.931333,J11
"ObjectId(""5dfe4f954e00d60f40f0fa93"")",2015-08-06T00:00:00.000,0.16,0,249.924,0,30.43,5.6,0.097,1.94,1,17,0.084,7.76,7.75,57,6.61,251.074,40.581667,-73.931333,J11
"ObjectId(""5dfe4f954e00d60f40f0fab8"")",2016-08-10T00:00:00.000,0.401,0,198.52,0,28.58,5.29,0.309,3.23,1,13,0.097,7.46,7.65,8,5.06,203.77,40.651112,-74.081945,K1
"ObjectId(""5dfe4f954e00d60f40f0faba"")",2016-06-21T00:00:00.000,0.225,0,284.31,0,26.37,7.2,0.226,2.29,1,19,0.042,7.7,7.71,4,7.02,282.31,40.664667,-74.051333,N6
"ObjectId(""5dfe4f954e00d60f40f0fac4"")",2015-01-07T00:00:00.000,0.306,0,103.672,0,28.65,1.53,0.207,2.46,27,11,0.042,7.8,8,75,9.43,106.048,40.664667,-74.051333,N6
"ObjectId(""5dfe4f954e00d60f40f0facf"")",2016-10-25T00:00:00.000,0.408,0,247.29,0,28.03,6.5,0.552,2.63,8,11,0.159,7.8,7.83,32,6.86,237.81,40.664667,-74.051333,N6
"ObjectId(""5dfe4f954e00d60f40f0fade"")",2016-09-19T00:00:00.000,0.248,0,201.71,0,26.02,4.7,0.422,2.45,108,11,0.201,7.51,7.53,260,4.86,204.56,40.800833,-73.8645,E14
"ObjectId(""5dfe4f954e00d60f40f0fb3d"")",2016-09-14T00:00:00.000,0.422,0,0,0,0,0,0.233,3.9,10,170,0.897,8.27,0,180,0,0,40.655069,-73.860294,SP1
"ObjectId(""5dfe4f954e00d60f40f0fb40"")",2015-07-22T00:00:00.000,0.29,0,0,0,0,0,0.117,3.49,2,36,0.41,0,0,30,0,0,40.655069,-73.860294,SP1
"ObjectId(""5dfe4f954e00d60f40f0fb7d"")",2015-03-17T00:00:00.000,0.119,0,0,0,31.67,0,0.07,1.75,1,5,0.043,8.14,8.11,2,11.59,0,40.529667,-73.943667,N16
"ObjectId(""5dfe4f954e00d60f40f0fb89"")",2016-07-07T00:00:00.000,0.021,0,267.4,0,31.56,7.65,0.018,1.86,2,32,0.045,8.08,7.98,92,6.84,264.74,40.529667,-73.943667,N16
"ObjectId(""5dfe4f954e00d60f40f0fb8f"")",2015-10-07T00:00:00.000,0.508,0,230.974,0,22.51,6.1,0.695,3.02,6,19,0.167,7.49,7.51,20,7,230.537,40.6375,-74.195833,K3
"ObjectId(""5dfe4f954e00d60f40f0fbd6"")",2015-04-06T00:00:00.000,0.149,0,241.613,0,21.83,10.58,0.511,2.74,2,13,0.085,7.95,7.95,8,10.56,227.221,40.7645,-74.005833,N4
"ObjectId(""5dfe4f954e00d60f40f0fbec"")",2016-06-20T00:00:00.000,0.258,0,243.29,0,24.39,6.27,0.231,2.14,4,24,0.077,7.59,7.6,5,6.18,248.73,40.7825,-73.922,E4
"ObjectId(""5dfe4f954e00d60f40f0fc03"")",2016-08-16T00:00:00.000,0.123,0,217.89,0,28.68,4.12,0.069,3.5,1,9,0.317,7.89,7.75,12,4.56,218.54,40.608054,-73.885835,J2
"ObjectId(""5dfe4f954e00d60f40f0fc34"")",2015-06-22T00:00:00.000,0.297,0,284.313,0,24.7,5.43,0.215,2.17,4,21,0.143,7.39,7.4,41,5.98,284.916,40.805,-73.8205,E7
