LOCATION,top_ph,bottom_ph
Mouth of Bronx River,7.32,0
Mouth of Bronx River,7.91,0
Shooters Island,7.38,7.39
Shooters Island,7.9,7.98
Shooters Island,7.45,7.51
Shooters Island,7.4,7.39
Shooters Island,7.33,7.32
The Narrows,7.63,0
The Narrows,7.57,0
The Narrows,7.55,7.7
The Narrows,7.5,7.79
The Narrows,7.33,7.43
The Narrows,7.67,7.72
The Narrows,7.97,8.01
The Narrows,7.54,7.64
Steeplechase Pier,7.76,7.8
Steeplechase Pier,7.41,7.49
Steeplechase Pier,7.66,7.71
Steeplechase Pier,7.86,7.87
Steeplechase Pier,7.5,7.57
Steeplechase Pier,7.85,7.79
English Kills,7.46,7.5
English Kills,6.83,6.8
English Kills,7.05,7.06
English Kills,7.22,7.24
English Kills,7.09,7.12
Bergen Basin,7.87,7.86
Bergen Basin,7.58,7.67
Bergen Basin,8.78,8.72
Bergen Basin,7.2,7.17
Bergen Basin,7.79,7.71
Bergen Basin,7.89,7.93
"""28"" Buoy Robbins Reef",7.2,7.35
"""28"" Buoy Robbins Reef",7.44,7.63
"""28"" Buoy Robbins Reef",7.52,7.58
"""28"" Buoy Robbins Reef",7.68,7.73
"""28"" Buoy Robbins Reef",7.68,7.71
"""28"" Buoy Robbins Reef",7.55,7.57
Carroll Street Bridge,7.8,7.8
Carroll Street Bridge,7.33,7.37
Carroll Street Bridge,7.28,7.32
Carroll Street Bridge,6.85,6.89
Carroll Street Bridge,7.43,7.49
Carroll Street Bridge,6.97,7.16
Paerdegat Basin,7.63,7.64
Paerdegat Basin,7.8,7.8
Paerdegat Basin,8.13,8
Paerdegat Basin,7.93,7.93
Paerdegat Basin,8.08,8.09
Paerdegat Basin,7.94,7.95
Paerdegat Basin,7.96,8.04
Sheepshead Bay,7.65,0
Sheepshead Bay,8.12,7.98
Sheepshead Bay,7.84,7.87
Sheepshead Bay,8.01,8.02
Sheepshead Bay,7.79,7.81
Sheepshead Bay,8.06,7.91
Sheepshead Bay,7.76,7.75
Tottenville,7.62,7.64
Tottenville,7.97,7.85
Tottenville,7.69,7.65
Tottenville,7.52,7.59
Tottenville,7.45,7.44
St. George,7.17,7.31
St. George,7.26,7.54
St. George,7.53,7.5
St. George,7.63,7.76
St. George,7.84,7.94
St. George,7.5,7.66
St. George,7.34,7.44
St. George,7.66,7.68
St. George,7.65,7.72
St. George,7.3,7.41
St. George,7.46,7.65
"Buoy ""31""",7.7,7.71
"Buoy ""31""",7.66,7.72
"Buoy ""31""",7.56,7.6
"Buoy ""31""",7.8,8
"Buoy ""31""",7.51,0
"Buoy ""31""",7.38,7.52
"Buoy ""31""",7.75,7.72
"Buoy ""31""",7.8,7.83
"Buoy ""31""",7.56,0
"Buoy ""31""",0,0
"Buoy ""31""",0,0
"Buoy ""31""",7.62,7.59
Bronx River,7.51,7.53
Bronx River,0,0
Bronx River,7.37,7.34
Bronx River,7.36,7.44
Bronx River,7.11,7.11
Bronx River,7.31,7.29
Bronx River,7.2,7.24
Bronx River,7.35,7.45
Bronx River,7.22,7.26
Bronx River,7.19,7.17
Bronx River,7.27,7.21
Bronx River,7.83,7.83
125th Street,7.39,7.94
125th Street,7.4,7.5
125th Street,7.35,7.4
125th Street,8,7.6
125th Street,7.18,7.1
125th Street,7.43,7.44
125th Street,7.64,7.65
Mt. St. Vincent,7.78,0
Mt. St. Vincent,7.8,7.51
Mt. St. Vincent,7.12,7.46
Mt. St. Vincent,7.57,7.26
Mt. St. Vincent,7.88,7.55
Mt. St. Vincent,7.44,7.52
Mt. St. Vincent,7.73,7.39
Mt. St. Vincent,7.85,7.73
Mt. St. Vincent,7.27,7.3
Mt. St. Vincent,7.57,7.52
Mt. St. Vincent,7.47,7.42
Mt. St. Vincent,7.39,7.34
Mt. St. Vincent,7.42,7.39
Mt. St. Vincent,7.26,7.17
Hart Island,7.6,7.65
Hart Island,7.91,7.82
Hart Island,8.39,8.42
Hart Island,6.79,6.81
Hart Island,8.69,8.75
Hart Island,8.09,7.59
Hart Island,7.78,7.56
Hart Island,7.51,7.55
Hart Island,7.43,7.14
Hart Island,8.06,8.03
Hart Island,7.85,7.91
Fresh Kills,7.73,7.83
Fresh Kills,7.55,7.59
Fresh Kills,7.3,7.34
Fresh Kills,7.43,7.42
Fresh Kills,7.32,7.41
Fresh Kills,7.27,7.32
Fresh Kills,7.46,7.48
Head of basin,8.27,0
Head of basin,7.81,0
Head of basin,7.57,0
Head of basin,8.62,0
Pier A-The Battery,7.65,7.67
Pier A-The Battery,7.48,7.51
Pier A-The Battery,7.4,7.52
Pier A-The Battery,6.08,6.06
Pier A-The Battery,7.36,7.41
Pier A-The Battery,7.65,7.76
Pier A-The Battery,7.74,7.82
Pier A-The Battery,7.62,0
Pier A-The Battery,7.72,7.59
155th Street,7.25,7.39
155th Street,7.26,7.28
155th Street,7.88,7.77
155th Street,7.19,7.12
155th Street,7.47,7.51
155th Street,7.41,7.44
155th Street,7.3,7.4
155th Street,7.47,7.52
155th Street,7.31,7.26
SI-FI-W Gong,7.94,7.86
SI-FI-W Gong,8.14,8.11
SI-FI-W Gong,7.54,7.59
SI-FI-W Gong,7.74,7.78
SI-FI-W Gong,7.64,7.49
SI-FI-W Gong,7.82,7.76
SI-FI-W Gong,8.02,8.06
SI-FI-W Gong,8.27,8.14
SI-FI-W Gong,8.08,7.98
SI-FI-W Gong,7.7,7.6
A & K Railroad Bridge,7.23,7.22
A & K Railroad Bridge,7.43,7.48
A & K Railroad Bridge,7.49,7.51
A & K Railroad Bridge,7.42,7.52
A & K Railroad Bridge,7.63,7.63
Flushing Bay,7.46,7.47
Flushing Bay,7.32,7.27
Flushing Bay,7.56,7.56
Flushing Bay,7.34,7.36
Flushing Bay,7.39,7.45
Flushing Bay,7.11,7.18
Spring Creek,7.53,0
Spring Creek,8.35,0
42nd Street,7.99,7.67
42nd Street,7.02,6.98
42nd Street,7.77,7.74
42nd Street,7.86,8.12
42nd Street,7.31,7.38
42nd Street,0,0
42nd Street,7.25,7.46
42nd Street,7.4,7.46
42nd Street,7.17,7.22
42nd Street,8.13,7.68
42nd Street,7.95,7.95
Hell Gate,7.48,7.5
Hell Gate,7.46,7.49
Hell Gate,7.3,7.34
Hell Gate,7.59,7.6
Mill Basin,8.1,8.2
Mill Basin,8.15,8.14
Mill Basin,7.89,7.89
Mill Basin,8.03,7.93
Mill Basin,7.94,7.71
Mill Basin,8.25,8.16
Mill Basin,8.49,8.17
Mill Basin,7.95,7.96
Mill Basin,8.6,8.57
Mill Basin,8.04,7.86
Mill Basin,7.89,7.75
Mill Basin,7.73,7.79
A train Trestle,7.78,7.78
A train Trestle,7.66,7.67
A train Trestle,7.95,7.93
A train Trestle,7.95,7.98
A train Trestle,7.79,7.84
A train Trestle,8.29,8.31
Gowanus Channel,7.73,7.46
Gowanus Channel,7.45,7.55
Gowanus Channel,7.5,7.6
Gowanus Channel,7.14,7.36
Gowanus Channel,7.42,7.42
Gowanus Channel,7.85,7.81
Raritan River,7.47,7.53
Raritan River,7.77,7.8
Raritan River,7.75,7.86
Raritan River,7.69,7.7
Raritan River,7.52,0
Raritan River,7.69,7.7
Raritan River,7.47,7.56
Raritan River,7.75,7.75
Whitestone,7.91,7.96
Whitestone,7.5,7.49
Whitestone,8.06,8.12
Whitestone,7.72,7.74
Whitestone,7.26,7.2
Whitestone,7.43,7.62
Whitestone,7.39,7.4
Whitestone,7.71,7.82
Whitestone,7.49,7.52
Whitestone,7.55,7.47
Whitestone,6.61,6.69
Whitestone,7.26,7.27
Whitestone,7.55,7.77
Throgs Neck,7.06,7.11
Throgs Neck,7.08,7.25
Throgs Neck,7.57,7.59
Throgs Neck,7.24,7.19
Throgs Neck,7.42,7.48
Throgs Neck,7.56,7.54
Throgs Neck,7.19,7.09
Little Neck Bay South,7.3,0
Little Neck Bay South,8.09,0
Little Neck Bay South,7.59,0
Little Neck Bay South,7.8,0
Little Neck Bay South,8.22,0
Flushing Creek,7.07,7.07
Flushing Creek,6.99,7
Flushing Creek,7.1,7.1
Flushing Creek,7.36,7.32
Flushing Creek,7.33,7.3
Flushing Creek,7.33,7.35
Flushing Creek,7.2,7.18
Mouth of Fresh Creek,7.46,0
Canarsie,8.37,8.27
Canarsie,7.74,7.7
Canarsie,7.72,7.75
Canarsie,8.12,7.9
Canarsie,7.94,7.85
Canarsie,7.97,7.9
Canarsie,8.53,8.25
Canarsie,7.92,7.86
Grassy Bay,8.21,7.98
Grassy Bay,8.2,8.09
23rd Street,7.67,0
23rd Street,7.27,7.29
23rd Street,7.36,7.37
23rd Street,7.59,7.61
23rd Street,7.23,7.24
Midway in Basin,7.65,7.69
Midway in Basin,8.28,8.33
Midway in Basin,7.85,7.92
Midway in Basin,7.68,7.65
Midway in Basin,8.17,7.88
Midway in Basin,8.48,8.5
Whale Creek,7.53,7.62
Whale Creek,6.94,6.99
Whale Creek,7.57,7.64
Whale Creek,7.77,7.24
Whale Creek,7.23,7.24
Flushing Bay North,7.65,7.63
Flushing Bay North,7.79,7.8
Flushing Bay North,7.37,7.36
Flushing Bay North,7.2,7.24
Flushing Bay North,7.63,7.62
Flushing Bay North,7.7,7.68
Flushing Bay North,7.37,7.37
Coney Is W Outfall,7.68,7.71
Coney Is W Outfall,7.85,0
Coney Is W Outfall,7.5,7.52
Coney Is W Outfall,7.95,7.96
Horse Channel,8.12,0
Spring Creek,8.17,8.06
Spring Creek,8.13,8.14
Spring Creek,8.52,8.52
Spring Creek,8.13,8.06
Maspeth Creek,7.94,7.17
Maspeth Creek,7.09,7.19
Maspeth Creek,7.11,7.16
Maspeth Creek,6.96,6.99
Flushing Bay South,7.4,7.45
Flushing Bay South,8.08,0
