,bottom_active_chlorophyll_a_g_l,bottom_ammonium_mg_l,bottom_bacteria_per_c_c_1909,bottom_coliform_log_no_ml,bottom_conductivity_s_m,bottom_depth_ysi_ft,bottom_dissolved_organic_carbon_ysi_mg_l,bottom_enterococci_bacteria_cells_100ml,bottom_fecal_coliform_bacteria_cells_100ml,bottom_five_day_biochemical_oxygen_demand_mg_l,bottom_fluorometer_mg_m3,bottom_nitrate_nitrite_mg_l,bottom_ortho_phosphorus_mg_l,bottom_pcb_plate_count_thous_ml,bottom_ph,bottom_salinity_psu,bottom_sample_depth_ft,bottom_sample_par_ue_s_ue_s_m2,bottom_sample_salinity_ysi_psu,bottom_sample_temperature_c,bottom_sample_temperature_ysi_c,bottom_sigma_t_kg_m3,bottom_silica_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,bottom_total_phosphorus_mg_l,bottom_total_suspended_solid_mg_l,bottom_turbidity_ysi_nephelometric_turbidity_units,chlorophyll_bottom_sample_field_u_l_ysi,chlorophyll_top_sample_field_u_l_ysi,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,current_direction_current_direction,current_speed_knot,duplicate_sample,enterococcus_bottom_sample_less_than_or_greater_than_result,enterococcus_top_sample_less_than_or_greater_than_result,fecal_coliform_bottom_sample_less_than_or_greater_than_result,fecal_coliform_top_sample_less_than_or_greater_than_result,lat,light_trans_transparency_bottom_sample,light_trans_transparency_top_sample,long,oakwood_bod_bottom_sample_mg_l,oakwood_bod_top_sample_mg_l,oxidation_reduction_potential_mv_bottom_sample,oxidation_reduction_potential_mv_top_sample,percentage_o2_saturation_bottom_sample,percentage_o2_saturation_top_sample,sample_date,sample_time,sampling_comment,sampling_location,sea_state,secchi_depth_ft,site_actual_depth_ft,top_active_chlorophyll_a_g_l,top_ammonium_mg_l,top_bacteria_per_c_c_1909,top_bottom_coliform_cells_100_ml,top_coliform_log_no_ml,top_conductivity_s_m,top_dissolved_organic_carbon_mg_l,top_dissolved_organic_carbon_ysi_mg_l,top_enterococci_bacteria_cells_100ml,top_fecal_coliform_bacteria_cells_100ml,top_five_day_biochemical_oxygen_demand_mg_l,top_fluorometer_mg_m3,top_nitrate_nitrite_mg_l,top_ortho_phosphorus_mg_l,top_pcb_plate_count_thous_ml,top_ph,top_salinity_psu,top_sample_depth_ft,top_sample_depth_ysi_ft,top_sample_par_ue_s_m2,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,top_sample_salinity_ysi_psu,top_sample_temperature_c,top_sample_temperature_ysi_c,top_sigma_t_kg_m3,top_silica_mg_l,top_total_coliform_cells_100_ml,top_total_kjeldhal_nitrogen_mg_l,top_total_organic_carbon_mg_l,top_total_suspended_solid_mg_l,top_turbidity_nephelometric_turbidity_units,total_phosphorus_mg_l,type,weather_condition_dry_or_wet,wind_direction_wind_direction,wind_speed_mph,winkler_method_bottom_dissolved_oxygen_mg_l,winkler_method_top_dissolved_oxygen_mg_l,SITE,DESCRIPTION,LATITUDE,LONGITUDE
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91,0,HW SLK,0,0,0,0,0,40.813667,0.0,61.56,-73.871333,0.0,0.0,0.0,193.099,0.0,68.4,2015-08-17T00:00:00.000,1:07 PM,0,BR5,1,2.0,13.0,8.96,0.03,0.0,0,0.0,3.98,2.39,0.0,3,10,0.0,3.9804,0.2,0.124,0.0,7.32,25.58,3.0,0.0,3791.3,0.0,0.0,24.68,0.0,16.33,2.61,0,0.435,0.0,16.0,0.0,0.188,Permanent,Dry,S,5,0.0,5.17,BR5,Mouth of Bronx River,-73.871333,40.813667
1,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,27.19,0.0,0.0,0.0,0.0,26.43,8.0,263.0,0.0,24.85,0.0,16.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96,7.74,7.82,8.31,S,0.7,0,0,0,0,E,40.813667,55.2,57.3,-73.871333,0.0,0.0,245.09,243.22,97.5,117.2,2016-08-29T00:00:00.000,1:13 PM,0,BR5,1,2.5,10.0,29.4,0.039,0.0,0,0.0,4.1,2.79,0.0,2,20,0.0,18.31,0.227,0.102,0.0,7.91,25.78,3.0,0.0,1525.0,2324.0,0.0,25.4,0.0,16.27,3.448,0,0.711,0.0,21.0,0.0,0.219,Permanent,Dry,NNW,11.0,0.0,9.04,BR5,Mouth of Bronx River,-73.871333,40.813667
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SW,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.0,0.0,0.0,0.0,0.0,0.0,1965-07-06T00:00:00.000,9:50 AM,0,K2,0,0.0,21.0,0.0,0.0,0.0,790,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0,0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,3500,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,3.4,3.5,K2,Shooters Island,-74.153,40.641167
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.4,0.8,0.0,0.0,0.0,0.0,1979-07-31T00:00:00.000,9:30 AM,0,K2,0,0.0,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,4500,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,5.3,5.7,K2,Shooters Island,-74.153,40.641167
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,W,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.4,0.8,0.0,0.0,0.0,0.0,1979-07-31T00:00:00.000,9:30 AM,0,K2,0,0.0,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,4500,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,5.3,5.7,K2,Shooters Island,-74.153,40.641167
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SL,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.0,0.0,0.0,0.0,0.0,0.0,1931-08-13T00:00:00.000,11:30 AM,0,K2,0,0.0,21.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,20.65,0.0,0.0,0.0,0.0,0.0,25.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,1.77,1.83,K2,Shooters Island,-74.153,40.641167
6,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,15.0,0.0,1.09,0.0,0.0,0.0,7.39,22.66,22.96,0.0,0.0,20.08,0.0,15.36,0.0,0.0,0.0,18.0,0.0,0.0,0.0,5.18,0.0,0.0,5.27,W,0,0,0,0,0,0,40.641167,66.36,65.95,-74.153,0.0,0.0,0.0,0.0,65.32,66.35,1997-09-24T00:00:00.000,10:25 AM,0,K2,1,5.5,23.0,8.7,0.564,0.0,0,0.0,3.23,0.0,0.0,0,20,0.0,1.12,0.596,0.192,0.0,7.38,22.55,3.28,0.0,4.1,4.16,0.0,20.04,0.0,15.29,0.0,0,0.941,0.0,18.0,0.0,0.256,Permanent,unknown,N,6,5.95,6.03,K2,Shooters Island,-74.153,40.641167
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.002,0.0,25.2,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.0,0.0,0.0,0.0,0.0,0.0,1954-07-13T00:00:00.000,9:15 AM,0,K2,0,0.0,21.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0,0,2.0,0.0,0.0,0,0.021,0.0,24.85,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,4.2,4.4,K2,Shooters Island,-74.153,40.641167
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.98,0,0.0,0.0,24.2,0,0.0,0.0,0.0,0.0,0.0,41.4,0.0,0.0,25.1,0.0,0.0,0.0,0.0,SW,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.0,0.0,0.0,0.0,0.0,0.0,2003-08-27T00:00:00.000,3:31 PM,0,K2,1,3.0,21.0,39.56,0.068,0.0,0,0.0,0.0,4.39,0.0,2,0,0.0,0.0,0.196,0.087,0.0,7.9,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.2,0,0.868,0.0,11.4,0.0,0.18,Permanent,Dry,N,5,9.29,9.19,K2,Shooters Island,-74.153,40.641167
9,0.0,0.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,4.1163,0.0,0.0,0.0,7.51,20.26,29.0,0.0,0.0,16.84,0.0,14.27,0.0,0.0,0.0,8.4,0.0,0.0,0.0,6.71,7.51,7.53,6.89,W,WEAK,0,0,E,0,E,40.641167,0.0,0.0,-74.153,0.0,0.0,251.026,249.8,78.34,80.21,2009-06-17T00:00:00.000,2:58 PM,0,K2,1,6.5,33.0,3.5,0.37,0.0,0,0.0,2.7,4.1,0.0,8,60,0.0,5.2197,0.544,0.105,0.0,7.45,19.98,3.0,0.0,20.98,397.93,0.0,16.82,0.0,14.06,2.23,0,0.818,0.0,5.4,0.0,0.142,Permanent,Dry,S,11,8.29,8.62,K2,Shooters Island,-74.153,40.641167
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,18.55,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.0,0.0,0.0,0.0,0.0,0.0,1967-08-29T00:00:00.000,10:20 AM,0,K2,0,0.0,21.0,0.0,0.0,0.0,700,0.0,0.0,0.0,0.0,0,0,3.0,0.0,0.0,0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,330,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,4.5,5.9,K2,Shooters Island,-74.153,40.641167
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ebb,0,0,0,0,0,0,40.641167,0.0,0.0,-74.153,0.0,0.0,0.0,0.0,0.0,0.0,1909-09-30T00:00:00.000,2:40 PM,0,K2,0,0.0,0.0,0.0,0.0,6200.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Permanent,unknown,0,0,0.0,0.0,K2,Shooters Island,-74.153,40.641167
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,D,0,0,0,0,40.641167,0.0,0.0,-74.153,0.0,0.0,0.0,0.0,0.0,0.0,2006-02-09T00:00:00.000,0,0,K2,0,4.0,0.0,1.84,0.36,0.0,0,0.0,0.0,4.33,0.0,10,84,0.0,0.0,0.688,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.37,0,0.623,0.0,30.0,0.0,0.099,Permanent,Dry,0,0,10.8,11.21,K2,Shooters Island,-74.153,40.641167
